Protein A;Gene A;Taxon A;Family A;Protein B;Gene B;Taxon B;Family B;Score;PMID
Q99IB8;Q99IB8;356411;11050;Q99816;TSG101;9606;9606;0.183;24136289 
P61604;HSPE1;9606;9606;P27958;P27958;11108;11050;0.126;22810585 
P60174;TPI1;9606;9606;P27958;P27958;11108;11050;0.126;22810585 
P27958;P27958;11108;11050;O14654;IRS4;9606;9606;0.126;22810585 
P27958;P27958;11108;11050;O00499;BIN1;9606;9606;0.126;22810585 
P27958;P27958;11108;11050;P06239;LCK;9606;9606;0.21;14993658 
P27958;P27958;11108;11050;O95292;VAPB;9606;9606;0.126;22810585 
P27958;P27958;11108;11050;O94966;USP19;9606;9606;0.126;22810585 
P27958;P27958;11108;11050;P07437;TUBB;9606;9606;0.126;22810585 
P27958;P27958;11108;11050;P05455;SSB;9606;9606;0.126;22810585 
P27958;P27958;11108;11050;P05141;SLC25A5;9606;9606;0.126;22810585 
P27958;P27958;11108;11050;P06748;NPM1;9606;9606;0.126;22810585 
P27958;P27958;11108;11050;P06733;ENO1;9606;9606;0.126;22810585 
P55209;NAP1L1;9606;9606;P27958;P27958;11108;11050;0.126;22810585 
P27958;P27958;11108;11050;P10599;TXN;9606;9606;0.126;22810585 
P29966;MARCKS;9606;9606;P27958;P27958;11108;11050;0.126;22810585 
Q99996;AKAP9;9606;9606;P29991;P29991;31635;11050;0.286;21911577 
P27958;P27958;11108;11050;P10809;HSPD1;9606;9606;0.126;22810585 
P27958;P27958;11108;11050;P16949;STMN1;9606;9606;0.126;22810585 
P27958;P27958;11108;11050;P14174;MIF;9606;9606;0.126;22810585 
P27958;P27958;11108;11050;P11021;HSPA5;9606;9606;0.126;22810585 
P27958;P27958;11108;11050;P12236;SLC25A6;9606;9606;0.126;22810585 
Q99IB8;Q99IB8;356411;11050;O14628;ZNF195;9606;9606;0.183;24136289 
Q99IB8;Q99IB8;356411;11050;O14763;TNFRSF10B;9606;9606;0.183;24136289 
Q99IB8;Q99IB8;356411;11050;O95613;PCNT;9606;9606;0.183;24136289 
Q99IB8;Q99IB8;356411;11050;P01024;C3;9606;9606;0.332;24136289 
